unknown_ratio,sample_length,runs,estimate_mean,estimate_variance,estimate_stddev,range_low_mean,range_high_mean,range_width_mean,confidence_mean
0.1,200,100,13171.98,112001.06,334.666,12981.56,13171.98,190.42,0.887
0.1,300,100,13262.04,55789.078,236.197,13127.61,13262.04,134.43,0.891
0.1,400,100,13239.84,41523.754,203.774,13142.8,13239.84,97.04,0.893
0.2,200,100,11752.94,201005.636,448.337,11541.03,11752.94,211.91,0.884
0.2,300,100,11854.02,79178.68,281.387,11713.65,11854.02,140.37,0.889
0.2,400,100,11728.87,93307.873,305.463,11625.83,11728.87,103.04,0.892
0.3,200,100,10272.42,152973.304,391.118,10088.81,10272.42,183.61,0.884
0.3,300,100,10300.04,157756.518,397.186,10165.86,10300.04,134.18,0.888
0.3,400,100,10273.9,118599.07,344.382,10168.31,10273.9,105.59,0.891
