student_code,cet4_score,cet6_score,runs,estimate_mean,estimate_stddev
S001,430,0,3,3750.0,96.264
S002,498,420,3,5263.333,86.538
S003,561,512,3,6536.667,107.806
S004,612,548,3,7573.333,87.305
