learner_class,estimate,range_low,range_high,confidence,known_count,unknown_count,method,ignored_words
C,13037,12527,13037,0.865,852,0,learner_profile_rank_midpoint_bootstrap_education_v1,
F,8465,8238,9571,0.642,626,143,learner_profile_rank_midpoint_bootstrap_education_v1,
P,1812,1639,2287,0.541,403,283,learner_profile_rank_midpoint_bootstrap_education_v1,
K,384,340,384,0.713,154,435,learner_profile_rank_midpoint_bootstrap_education_v1,
