text_path,estimate,range_low,range_high,confidence,method,unique_words,matched_words,ranked_words,unranked_words,ignored_words
data/samples/C.txt,8366,5386,8990,0.893,text_rank_percentile_v1,509,505,428,a;adequately;ai;algorithmic;algorithms;anime;been;bront;brought;catastrophic;catherine;caught;civilized;combined;copyright;datasets;demeanor;developers;distributed;driven;e;earnshaw;emily;eponymous;estimated;eu;faced;fundamentalism;g;geopolitical;globalization;globalized;grange;greater;has;hashing;heathcliff;huntington;hybridization;hypocrisy;inescapable;influenced;infringement;interconnectedness;intertwined;is;linton;localized;longer;misidentify;mitigation;moderation;nuanced;perceived;perceptual;personifies;polarization;postcolonial;prioritize;providers;raised;reduced;s;secularism;selective;shown;societal;spent;technological;th;timeless;torn;unesco;using;victorian;vs;wuthering,blockchain;midjourney;sunstein;thrushcross
data/samples/F.txt,7090,3914,8399,0.898,text_rank_percentile_v1,439,438,376,a;abruptly;aerosols;amazon;an;began;brazil;broader;c;cinematic;cod;culturally;desch;directness;duncan;e;feasibility;filmmakers;forced;franchises;g;gavin;globalization;grappling;handshakes;has;hollywood;i;is;isn;korea;longer;made;met;meter;meters;mindset;misinterpreting;misunderstandings;netflix;non;outlined;paid;perceived;personalized;prioritizes;proposed;reflective;rethink;s;schoolwork;seawater;smaller;stakeholders;steven;subtleties;systemic;t;uk;vs;wa;written,metoo
data/samples/P.txt,4700,1711,8152,0.894,text_rank_percentile_v1,457,454,382,a;allan;an;arthritic;austin;became;began;blueberries;bought;california;came;carefully;carl;chicago;colorado;colorful;decided;did;doe;elizabeth;erik;fastest;gave;grew;grub;grubstake;h;had;homestead;horace;i;id;is;kansas;knew;known;kornegay;larger;larry;leadville;leadvilles;lost;lured;made;mccourt;men;mini;mountainside;moved;obesity;paul;pittsburgh;potentially;pre;renamed;required;rubin;said;schoolteacher;sheldon;sold;struck;tabor;took;using;vermont;vet;w;warner;was;went;were,apop;dont;youre
data/samples/K.txt,3299,1041,8157,0.783,text_rank_percentile_v1,190,190,174,a;an;been;campsites;has;i;im;is;meows;meter;mimi;penguins;rv;seen;went;were,
